refactoring -> imports -> add import	Please use only `Logger` instead of `org.slf4j.Logger`
refactoring -> imports -> avoid wildcard imports	Please do not use wildcard imports.
refactoring -> imports -> avoid wildcard imports	Could you please leave the explicit imports?
refactoring -> imports -> avoid wildcard imports	As Miklas stated, please avoid wildcard imports.
refactoring -> imports -> avoid wildcard imports	Avoid wildcard imports
refactoring -> imports -> avoid wildcard imports	Please avoid wildcard imports.
refactoring -> imports -> avoid wildcard imports	hmmm did this pass spotless check? I don't think we typically use wildcard imports
refactoring -> imports -> replace imported class	can use `getParamTypeName` instead
refactoring -> imports -> replace imported class	javaparser-core has no dependencies and it should stay that way. So no log4j. And even then there would have been a preference for slf4j.
refactoring -> moving -> move class	We call it Kind2 and move out of the `javaslang/control` package into the `javaslang`package. Maybe I will later generate Kind1..Kindn but that's another story.
refactoring -> moving -> move method	This should be moved into the PrivacyBlockProcessor instead of adding the constructor here.
refactoring -> moving -> move statement between methods	I think it might make more sense to do this in Name.upperCamel; it is the entry point for upper camel strings.
refactoring -> moving -> move statement between methods	Good catch! Could you please move this to `PlaybackService.this.onPlaybackEnded`? I think it's more clean if everything is in one single place.
refactoring -> moving -> move variable/constant	this is duplicate now. I suggest moving it into `MimeHeader`, we already have a bunch of other headers there
refactoring -> moving -> move variable/constant	Since this constant is an implementation detail rather than a user-facing API, is it better to define it in a place where it is used?
refactoring -> moving -> move variable/constant	I would rename the field to IMAGE_TYPES and make it an array. I don't think we need list operations. Also, if possible, I would move the field to the ApiFields class. What do you think?
refactoring -> performance -> optimize performance	Found a better choice here that doesn't involve object creation: StringHelper.startsWith()
refactoring -> performance -> optimize performance	Whoa, was this opto breaking something? I guess if this final path is filtered out, we still need the queue? Have you run the suggest benchmarks to see if removing this opto hurt performance?
refactoring -> performance -> optimize performance	The `HitsThresholdChecker` should be created once and shared within the collectors ? We also don't need to use the `GlobalHitsThresholdChecker` if the executor is null or if there is a single slice.
refactoring -> performance -> optimize performance	@aokolnychyi, shouldn't this check whether the operation is a delete? If this is invoked by `DELETE FROM` then we don't need to validate conflicting deletes.
refactoring -> performance -> optimize performance	rather than generate code for this every time, stick it in `flatbuffers.h` (and call it `FLATBUFFERS_NOEXCEPT` to avoid clashes).
refactoring -> readability -> add/remove "this" keyword	`this.` seems unnecessary
refactoring -> readability -> improve formatting	... here the semicolon wanted to run away from the enum ;)
refactoring -> readability -> improve formatting	@dansanduleac what do you think of this one? dots were aligned and no longer are  
refactoring -> readability -> improve formatting	please use new line to maintain reasonable line width
refactoring -> readability -> improve formatting	indentation of resulting file is different between 11 and 8 where 8 doesn't indent lines and 11 does
refactoring -> readability -> improve formatting	looks like the code is not properly formatted. for example here are some missing spaces in **if** command. please take care and reformat the code using default android formatting.
refactoring -> readability -> improve formatting	To much tabs here (1 tab)
refactoring -> readability -> improve formatting	Can we put some of the code on a new line to make it more readable. The max line length was 120 now, right?
refactoring -> readability -> improve formatting	1.not format code 2.failed but still continue? 3."UTF-8" can changed to java.nio.charset.StandardCharsets.UTF_8.name()
refactoring -> readability -> improve formatting	remove this empty line pl0x
refactoring -> readability -> improve formatting	please resolve the extra indentation
refactoring -> readability -> improve formatting	Here is a newline missing
refactoring -> readability -> improve formatting	Please add a space between `if` and `(`.
refactoring -> readability -> improve formatting	Nit: Please fix indentation (note: Azkaban uses 2 spaces and not tabs).
refactoring -> readability -> improve formatting	We prefer line wrapping that keeps arguments to the same method aligned rather than aligning arguments to different levels. Here, the lambda to create an `InternalRecordWrapper` is an argument to `transform`, but it is aligned with `deleteSchema.asStruct()` that is an argument to the outer `toEqualitySet` call. Instead, can you add a newline for each argument to `toEqualitySet`? If the line with the lambda is too long, then you can also add a newline for it that it indented from the start of the line with `transform`, so it is clear that it is an argument to `transform` and not `toEqualitySet`.
refactoring -> readability -> improve formatting	one space missing at the beginning
refactoring -> readability -> improve formatting	Nit: unnecessary whitespace change.
refactoring -> readability -> improve formatting	Enter at the end of the file! :-D (and at the end of lines ;-) )
refactoring -> readability -> improve formatting	Unnecessary new line
refactoring -> readability -> improve formatting -> add/remove white space(s)	Wearing my extra-douche-bag hat I would say not spaces on a blank line. Maybe at some point we could have some automated process remove these things. For now I would not bother changing it.
refactoring -> readability -> improve formatting -> add/remove white space(s)	Unnecessary new line
refactoring -> readability -> improve formatting -> add/remove white space(s)	Nit: Please fix indentation (note: Azkaban uses 2 spaces and not tabs).
refactoring -> readability -> improve formatting -> add/remove white space(s)	remove this empty line pl0x
refactoring -> readability -> improve formatting -> add/remove white space(s)	Nit: indentation is 2 indents (4 spaces) from the previous line.
refactoring -> readability -> improve formatting -> add/remove white space(s)	Please add a space between `if` and `(`.
refactoring -> readability -> improve formatting -> add/remove white space(s)	please use new line to maintain reasonable line width
refactoring -> readability -> improve formatting -> add/remove white space(s)	one space missing at the beginning
refactoring -> readability -> improve formatting -> add/remove white space(s)	indentation of resulting file is different between 11 and 8 where 8 doesn't indent lines and 11 does
refactoring -> readability -> improve formatting -> add/remove white space(s)	To much tabs here (1 tab)
refactoring -> readability -> improve formatting -> add/remove white space(s)	Enter at the end of the file! :-D (and at the end of lines ;-) )
refactoring -> readability -> improve formatting -> add/remove white space(s)	Can we put some of the code on a new line to make it more readable. The max line length was 120 now, right?
refactoring -> readability -> improve formatting -> add/remove white space(s)	looks like the code is not properly formatted. for example here are some missing spaces in **if** command. please take care and reformat the code using default android formatting.
refactoring -> readability -> improve formatting -> add/remove white space(s)	... here the semicolon wanted to run away from the enum ;)
refactoring -> readability -> improve formatting -> add/remove white space(s)	Nit: unnecessary whitespace change.
refactoring -> readability -> improve formatting -> add/remove white space(s)	please resolve the extra indentation
refactoring -> readability -> improve order of statements	Maybe I should do some sorting so that these properties don't keep moving around...
refactoring -> readability -> improve order of statements	Nit: Maybe merge this with the configProto check on line 208? Don't feel that strongly though, please keep separate if you prefer.
refactoring -> readability -> improve string literals	nit: Is this actually just a http "unauthorised" response? Or is that too vague? If this is the right way to go ... is "token" the right word" Or do we want to say something else?
refactoring -> readability -> improve string literals	Should its name be Time or Duration? I can see them both.
refactoring -> readability -> improve string literals	Nit: no need for "to" at the end of the doc because it already uses "to which".
refactoring -> readability -> improve string literals	Why upper case "R"?
refactoring -> readability -> improve string literals	The '.' in the key names are used to separate namespaces, NOT to separate words. How about azkaban.external_resources.resource_manager? ---- Why is it better than using the full name in the variable name e.g. RESOURCE_MANAGER_LINK ?
refactoring -> readability -> improve string literals	Looks like there are strange characters here.
refactoring -> readability -> improve string literals	Typo, should read `firstTimeEmptySubject`
refactoring -> readability -> improve string literals	Looks like there is a typo: `expireSnapshots` -> `removeFiles` or whatever name we go with.
refactoring -> readability -> improve string literals	we should keep the camel case format - selfServe
refactoring -> readability -> remove magic number/replace it with constant	Do we need to increase the DB version? Also, should probably be a constant, no?
refactoring -> readability -> remove unneeded code -> remove deprecated/dead code	remove temporary code
refactoring -> readability -> remove unneeded code -> remove deprecated/dead code	delete this class
refactoring -> readability -> remove unneeded code -> remove unneeded constant from class	With the introduction of the enum(s) the constants in the store classes should be removed.
refactoring -> readability -> remove unneeded code -> remove unneeded import	What is this used for?
refactoring -> readability -> remove unneeded code -> remove unneeded import	This import can be removed.
refactoring -> readability -> remove unneeded code -> remove unneeded import	This looks like an unused import to me?
refactoring -> readability -> remove unneeded code -> remove unneeded import	Remove unused import
refactoring -> readability -> remove unneeded code -> remove unneeded import	Please remove the unused imports :)
refactoring -> readability -> remove unneeded code -> remove unneeded import	I was using this imports for writing the results to file to more easily check that it was valid JSON. You can probably remove these `java.io` imports.
refactoring -> readability -> remove unneeded code -> remove unneeded import	This is an unused import failing recommit still.
refactoring -> readability -> remove unneeded code -> remove unneeded import	please inline imports
refactoring -> readability -> remove unneeded code -> remove unneeded method	This logic is already been performed in `CommandLine.defaultFactory().create(cls)` ... whats the point of repeating it here?
refactoring -> readability -> remove unneeded code -> remove unneeded method	Use existing `grpcStubCallString` instead
refactoring -> readability -> remove unneeded code -> remove unneeded method	Can all the BaseFeePerGas methods that are added be removed? It's not needed for the bomb and not referenced anywhere else in this PR.
refactoring -> readability -> remove unneeded code -> remove unneeded object instance	The `HitsThresholdChecker` should be created once and shared within the collectors ? We also don't need to use the `GlobalHitsThresholdChecker` if the executor is null or if there is a single slice.
